Symbole,Signal,Score,Prix,Tendance,RSI,Domaine,Volume moyen,Fiabilite,detection_time
FNV.TO,VENTE,-1.5,213.42999267578125,Baisse,35.34,Basic Materials,,100.0,2025-07-18 10:40:32
FSLY,VENTE,-1.2999999999999998,6.914999961853027,Baisse,47.71,Technology,2802886.33,0.0,2025-07-18 11:15:29
FTNT,ACHAT,7.0,105.8550033569336,Hausse,54.28,Technology,4114571.5,75.0,2025-07-18 13:08:59
FTNT,ACHAT,7.0,105.8499984741211,Hausse,54.27,Technology,4112674.67,75.0,2025-07-18 12:51:31
FTNT,ACHAT,7.0,105.91999816894533,Hausse,54.38,Technology,4111459.63,75.0,2025-07-18 12:40:37
FTNT,ACHAT,5.7,105.9800033569336,Hausse,54.47,Technology,4097912.43,0.0,2025-07-18 11:15:29
GE,ACHAT,6.75,266.9549865722656,Hausse,66.9,Industrials,7767424.87,0.0,2025-07-18 11:22:05
GLD,ACHAT,7.0,308.7799987792969,Hausse,52.91,ℹ️Inconnu!!,9332755.2,66.66666666666666,2025-07-18 13:08:59
GLD,ACHAT,7.0,308.9898986816406,Hausse,53.17,ℹ️Inconnu!!,9325859.7,66.66666666666666,2025-07-18 12:51:31
GLD,ACHAT,7.0,309.1400146484375,Hausse,53.36,ℹ️Inconnu!!,9321295.53,66.66666666666666,2025-07-18 12:40:37
GLD,ACHAT,7.0,308.8700866699219,Hausse,53.02,ℹ️Inconnu!!,9290483.1,100.0,2025-07-18 11:22:05
GLD,ACHAT,5.7,308.79949951171875,Hausse,52.93,ℹ️Inconnu!!,9287894.13,0.0,2025-07-18 11:15:29
GLDM,ACHAT,7.0,66.47000122070312,Hausse,53.46,ℹ️Inconnu!!,4077283.47,66.66666666666666,2025-07-18 12:40:37
GLDM,ACHAT,7.0,66.4000015258789,Hausse,53.06,ℹ️Inconnu!!,4067378.2,100.0,2025-07-18 11:22:05
GLDM,ACHAT,5.7,66.3998031616211,Hausse,53.05,ℹ️Inconnu!!,4066351.0,0.0,2025-07-18 11:15:29
GLDM,ACHAT,6.5,66.43499755859375,Hausse,53.26,ℹ️Inconnu!!,4061125.5,100.0,2025-07-18 10:40:32
GOOGL,ACHAT,5.75,185.0200042724609,Hausse,64.53,Communication Services,38519338.77,100.0,2025-07-18 13:08:59
GOOGL,ACHAT,5.75,184.7700042724609,Hausse,64.27,Communication Services,38499504.63,100.0,2025-07-18 12:51:31
GOOGL,ACHAT,5.75,184.7400054931641,Hausse,64.24,Communication Services,38487627.1,100.0,2025-07-18 12:40:37
GS,ACHAT,6.625,707.47998046875,Hausse,65.41,Financial Services,2246799.97,100.0,2025-07-18 13:08:59
GS,ACHAT,5.75,706.9000244140625,Hausse,65.26,Financial Services,2245671.3,100.0,2025-07-18 12:51:31
GS,ACHAT,5.75,706.760009765625,Hausse,65.22,Financial Services,2244779.6,100.0,2025-07-18 12:40:37
GS,ACHAT,5.25,703.6900024414062,Hausse,63.89,Financial Services,2231015.83,66.66666666666666,2025-07-18 10:40:32
GSK.L,VENTE,-1.7999999999999998,1354.5,Baisse,38.56,Healthcare,9742473.67,0.0,2025-07-18 11:15:29
GSK.L,VENTE,-1.7999999999999998,1354.93505859375,Baisse,38.61,Healthcare,9741430.33,0.0,2025-07-18 11:13:25
HII,ACHAT,5.25,255.9250030517578,Hausse,65.93,Industrials,463741.6,0.0,2025-07-18 10:40:32
HSBA.L,ACHAT,5.25,931.4000244140624,Hausse,65.81,Financial Services,15538500.4,66.66666666666666,2025-07-18 10:40:32
IAU,ACHAT,7.0,63.275001525878906,Hausse,53.36,ℹ️Inconnu!!,7281423.0,66.66666666666666,2025-07-18 12:40:37
IAU,ACHAT,7.0,63.22499847412109,Hausse,53.06,ℹ️Inconnu!!,7242857.13,100.0,2025-07-18 11:22:05
IAU,ACHAT,5.7,63.21989822387695,Hausse,53.03,ℹ️Inconnu!!,7239804.2,0.0,2025-07-18 11:15:29
IAU,ACHAT,6.5,63.255001068115234,Hausse,53.24,ℹ️Inconnu!!,7216448.87,100.0,2025-07-18 10:40:32
IBM,ACHAT,7.75,286.4949951171875,Hausse,57.08,Technology,3515646.2,0.0,2025-07-18 11:22:05
IBM,ACHAT,6.2,286.3514099121094,Hausse,56.93,Technology,3514366.1,0.0,2025-07-18 11:15:29
IBM,ACHAT,6.2,286.25,Hausse,56.83,Technology,3514189.87,0.0,2025-07-18 11:13:25
IBM,ACHAT,7.75,286.2200012207031,Hausse,56.8,Technology,3508612.53,100.0,2025-07-18 10:40:32
IMB.L,ACHAT,5.75,2928.0,Hausse,54.42,Consumer Defensive,2134265.77,66.66666666666666,2025-07-18 13:08:59
IMB.L,ACHAT,5.75,2928.0,Hausse,54.48,Consumer Defensive,2134265.7,66.66666666666666,2025-07-18 12:40:37
IMB.L,ACHAT,5.25,2925.0,Hausse,54.17,Consumer Defensive,2122967.8,0.0,2025-07-18 10:40:32
JCI,ACHAT,6.25,108.70999908447266,Hausse,69.36,Industrials,4330741.4,0.0,2025-07-18 14:39:28
JCI,ACHAT,6.25,108.66999816894533,Hausse,69.16,Industrials,4325105.23,0.0,2025-07-18 14:06:59
JCI,ACHAT,6.25,108.51000213623048,Hausse,68.37,Industrials,4324097.8,0.0,2025-07-18 13:56:14
JOBY,VENTE,-1.0,,Baisse,86.04,Industrials,,0.0,2025-07-18 11:13:25
KGC,ACHAT,5.25,15.464799880981444,Hausse,52.05,Basic Materials,17995184.87,0.0,2025-07-18 10:40:32
KO,ACHAT,6.25,70.29499816894531,Hausse,50.0,Consumer Defensive,16231128.4,0.0,2025-07-18 11:22:05
LEU,VENTE,-0.75,242.5,Hausse,76.5,Energy,,66.66666666666666,2025-07-18 10:40:32
LHA.DE,ACHAT,5.75,7.435999870300293,Hausse,59.08,Industrials,5125115.03,0.0,2025-07-18 14:39:28
LIN.DE,VENTE,-1.25,397.0,Baisse,45.46,ℹ️Inconnu!!,14499.4,0.0,2025-07-18 14:39:28
LIN.DE,VENTE,-0.75,397.7999877929688,Baisse,46.38,ℹ️Inconnu!!,14380.57,0.0,2025-07-18 10:40:32
LLOY.L,ACHAT,5.75,77.80000305175781,Hausse,57.39,Financial Services,109016217.37,100.0,2025-07-18 14:39:28
LUV,ACHAT,5.25,36.48500061035156,Hausse,64.08,Industrials,10827314.57,0.0,2025-07-18 10:40:32
MARA,VENTE,-1.0,,Baisse,74.22,Financial Services,,0.0,2025-07-18 11:15:29
ML.PA,ACHAT,5.25,32.2599983215332,Hausse,52.88,ℹ️Inconnu!!,1276078.9,0.0,2025-07-18 10:40:32
MP,VENTE,-1.0,,Baisse,82.3,Basic Materials,,0.0,2025-07-18 11:13:25
MRVL,ACHAT,6.0,74.04000091552734,Hausse,55.75,Technology,21494656.67,66.66666666666666,2025-07-18 13:08:59
MRVL,ACHAT,6.0,74.02999877929688,Hausse,55.74,Technology,21482538.67,66.66666666666666,2025-07-18 12:51:31
MRVL,ACHAT,6.0,73.87000274658203,Hausse,55.47,Technology,21474963.63,66.66666666666666,2025-07-18 12:40:37
MSFT,VENTE,-1.0,,Baisse,75.4,Technology,,0.0,2025-07-18 11:15:29
OPEN,VENTE,-1.0,,Baisse,83.35,Real Estate,,0.0,2025-07-18 11:15:29
PLTR,ACHAT,5.75,152.8892059326172,Hausse,65.06,Technology,75705728.27,100.0,2025-07-18 14:39:28
PLTR,VENTE,-1.0,,Baisse,66.47,Technology,,100.0,2025-07-18 12:40:37
PLTR,ACHAT,5.25,153.10989379882812,Hausse,65.34,Technology,75038215.03,100.0,2025-07-18 10:40:32
QQQ,VENTE,-1.0,,Baisse,70.43,ℹ️Inconnu!!,,0.0,2025-07-18 11:15:29
RGLD,VENTE,-1.5,155.15499877929688,Baisse,36.42,Basic Materials,,100.0,2025-07-18 14:39:28
RGLD,VENTE,-1.5,155.1407012939453,Baisse,36.39,Basic Materials,,100.0,2025-07-18 14:06:59
RGLD,VENTE,-1.5,154.875,Baisse,36.05,Basic Materials,,100.0,2025-07-18 13:56:14
RNO.PA,VENTE,-1.0,33.630001068115234,Baisse,26.92,Consumer Cyclical,1457359.1,0.0,2025-07-18 11:15:29
RNO.PA,VENTE,-1.0,33.63999938964844,Baisse,26.97,Consumer Cyclical,1457329.73,0.0,2025-07-18 11:13:25
ROG.SW,VENTE,-4.25,258.5,Baisse,45.72,Healthcare,,100.0,2025-07-18 14:39:28
RUSHB,VENTE,-1.0,52.52000045776367,Baisse,46.61,Consumer Cyclical,88836.63,0.0,2025-07-18 12:40:37
RWE.DE,ACHAT,6.75,36.4900016784668,Hausse,61.81,Utilities,1878259.77,100.0,2025-07-18 11:22:05
SAN.PA,VENTE,-2.3,83.37000274658203,Baisse,44.15,Healthcare,1821043.93,0.0,2025-07-18 11:15:29
SAND,ACHAT,5.25,9.5649995803833,Hausse,54.39,Basic Materials,7727693.83,100.0,2025-07-18 10:40:32
SLV,ACHAT,5.75,34.755001068115234,Hausse,63.93,ℹ️Inconnu!!,24173126.4,0.0,2025-07-18 14:39:28
SLV,ACHAT,5.75,34.7599983215332,Hausse,63.96,ℹ️Inconnu!!,24150039.5,0.0,2025-07-18 14:06:59
SLV,ACHAT,5.75,34.746299743652344,Hausse,63.88,ℹ️Inconnu!!,24143774.17,0.0,2025-07-18 13:56:14
SLV,ACHAT,5.25,34.79010009765625,Hausse,64.13,ℹ️Inconnu!!,23850357.93,0.0,2025-07-18 10:40:32
SMSN.L,VENTE,-1.0,,Baisse,66.05,Technology,,0.0,2025-07-18 14:06:59
SNOW,ACHAT,5.625,216.74000549316406,Hausse,56.85,Technology,3801276.7,100.0,2025-07-18 14:39:28
SNOW,ACHAT,5.625,216.26499938964844,Hausse,56.41,Technology,3795277.93,100.0,2025-07-18 14:06:59
SNOW,ACHAT,5.625,215.9149932861328,Hausse,56.08,Technology,3794649.03,100.0,2025-07-18 13:56:14
TMO,VENTE,-2.8,418.0199890136719,Baisse,52.35,Healthcare,,0.0,2025-07-18 11:15:29
TMO,VENTE,-2.8,418.4147033691406,Baisse,52.57,Healthcare,,0.0,2025-07-18 11:13:25
TTWO,VENTE,-2.2,229.75,Baisse,39.88,Communication Services,,0.0,2025-07-18 14:06:59
TTWO,VENTE,-3.0,229.2250061035156,Baisse,39.36,Communication Services,,100.0,2025-07-18 10:40:32
VEEV,ACHAT,6.75,282.9200134277344,Hausse,55.93,Healthcare,1336748.83,0.0,2025-07-18 14:39:28
VEEV,ACHAT,6.75,283.4800109863281,Hausse,56.33,Healthcare,1332054.83,0.0,2025-07-18 14:06:59
VEEV,ACHAT,6.75,283.8599853515625,Hausse,56.59,Healthcare,1329970.57,0.0,2025-07-18 13:56:14
VEEV,ACHAT,7.25,280.2025146484375,Hausse,53.91,Healthcare,1314227.27,0.0,2025-07-18 11:22:05
VICI,ACHAT,5.25,32.86000061035156,Hausse,54.04,Real Estate,5812824.73,0.0,2025-07-18 10:40:32
WDO.TO,VENTE,-1.5,17.100000381469727,Baisse,38.59,Basic Materials,,0.0,2025-07-18 10:40:32
WELL,ACHAT,5.75,159.1300048828125,Hausse,62.28,Real Estate,3108549.1,60.0,2025-07-18 12:40:37
WELL,ACHAT,5.25,158.5,Hausse,61.27,Real Estate,3100820.5,100.0,2025-07-18 10:40:32
XLP,ACHAT,5.2,81.13999938964844,Hausse,51.09,ℹ️Inconnu!!,14518600.47,0.0,2025-07-18 11:15:29
XRT,ACHAT,5.25,79.56999969482422,Hausse,57.42,ℹ️Inconnu!!,4674915.8,0.0,2025-07-18 10:40:32
