Symbole,Signal,Score,Prix,Tendance,RSI,Domaine,CapRange,ParamKey,Volume moyen,Consensus,ConsensusMean,dPrice,dMACD,dRSI,dVolRel,Rev. Growth (%),EBITDA Yield (%),FCF Yield (%),D/E Ratio,Market Cap (B$),Fiabilite,detection_time
HSBA.L,ACHAT,3.31,1398.0,Hausse,71.36,Financial Services,Large,Financial Services_Large,21056334.43,Neutre,,1.2,4.56,2.91,19.66,4.8,0.0,0.0,0.0,221.68,100.0,2026-02-26 20:13:59
HRZN,ACHAT,7.074,6.335000038146973,Baisse,45.78,Financial Services,Small,Financial Services_Small,899850.13,Neutre,,-0.53,30.08,-2.88,-22.19,7.1,0.0,12.43,134.31,0.29,42.857142857142854,2026-02-26 20:13:59
HPQ,ACHAT,11.615,18.864999771118164,Baisse,42.63,Technology,Large,Technology_Large,20297269.8,Neutre,3.05882,0.08,-0.45,1.31,12.74,6.9,19.03,18.58,0.0,17.63,50.0,2026-02-26 20:13:59
HPE,ACHAT,8.88,20.565000534057617,Baisse,40.21,Technology,Large,Technology_Large,16223493.67,Achat,2.18182,-1.11,17.74,-2.27,-7.03,14.4,9.63,-0.78,97.27,27.44,40.0,2026-02-26 20:13:59
IMNM,ACHAT,1.131,21.924999237060547,Baisse,45.71,Healthcare,Mid,Healthcare_Mid,1437797.07,Achat,1.14286,-0.24,22.78,-0.15,-12.8,0.0,-10.14,-4.64,1.52,2.75,100.0,2026-02-26 20:13:59
INDV,ACHAT,1.889,33.27000045776367,Baisse,44.54,Healthcare,Mid,Healthcare_Mid,1667098.13,Achat,1.28571,-0.68,14.94,-2.96,-8.75,2.3,8.02,3.4,0.0,4.13,100.0,2026-02-26 20:13:59
IONQ,ACHAT,7.702,33.59000015258789,Baisse,40.92,Technology,Large,Technology_Large,21075023.33,Achat,1.53846,-0.73,-2.25,0.03,2.09,221.5,-3.76,-0.07,1.25,14.79,50.0,2026-02-26 20:13:59
IREN,ACHAT,5.162,43.5,Baisse,47.11,Financial Services,Large,Financial Services_Large,42714619.13,Achat,1.57143,0.99,-4.68,1.41,0.71,59.0,1.28,-8.66,153.02,14.43,75.0,2026-02-26 20:13:59
INTC,ACHAT,8.478,45.59000015258789,Baisse,49.84,Technology,Large,Technology_Large,119777063.7,Neutre,2.8125,0.18,-774.47,0.52,-0.55,-4.1,4.94,-1.98,37.28,227.73,44.44444444444444,2026-02-26 20:13:59
IR,ACHAT,10.21,93.73750305175781,Baisse,53.93,Industrials,Large,Industrials_Large,4733864.6,Achat,2.125,-0.79,-15.01,-3.04,-14.96,10.1,4.99,2.9,50.7,37.04,66.66666666666666,2026-02-26 20:13:59
IT,ACHAT,9.424,153.80999755859375,Baisse,32.66,Technology,Large,Technology_Large,1844239.6,Neutre,2.66667,-0.89,-2.56,0.98,0.6,2.2,10.92,8.69,1046.54,10.62,33.33333333333333,2026-02-26 20:13:59
JKHY,ACHAT,12.197,160.5500030517578,Baisse,39.31,Technology,Large,Technology_Large,1086761.83,Achat,1.64706,-0.12,0.55,1.23,-10.64,7.9,6.16,2.97,3.11,11.3,33.33333333333333,2026-02-26 20:13:59
IQV,ACHAT,4.31,168.5500030517578,Baisse,33.06,Healthcare,Large,Healthcare_Large,2463220.5,Achat,1.54167,-0.24,-0.56,2.23,-1.21,10.3,7.03,7.72,245.93,28.7,100.0,2026-02-26 20:13:59
JPM,ACHAT,4.155,306.32501220703125,Baisse,48.02,Financial Services,Mega,Financial Services_Mega,11254323.13,Achat,2.11538,-0.3,10.08,-0.82,-2.18,2.5,0.0,0.0,0.0,826.24,75.0,2026-02-26 20:13:59
IBE.MC,VENTE,-7.88,20.049999237060547,Hausse,64.36,Utilities,Large,Utilities_Large,9504467.53,Achat,2.43478,0.17,-3.36,-2.51,3.57,0.5,11.56,0.0,89.38,135.49,100.0,2026-02-26 20:13:59
KBH,VENTE,-5.383,63.55500030517578,Hausse,54.59,Consumer Cyclical,Mid,Consumer Cyclical_Mid,1025781.77,Neutre,2.92857,-0.56,-2.82,-2.96,-35.93,-15.3,11.18,4.88,43.91,4.12,57.14285714285714,2026-02-26 20:13:59
HOLX,VENTE,-2.756,75.28500366210938,Hausse,58.15,Healthcare,Large,Healthcare_Large,2581919.37,Neutre,3.0,0.04,9.28,0.37,-36.32,2.5,7.96,5.05,48.05,16.81,100.0,2026-02-26 20:13:59
ILMN,VENTE,-3.53,126.63500213623047,Hausse,47.63,Healthcare,Large,Healthcare_Large,2333024.1,Achat,2.35,0.86,-6.93,3.5,-5.91,5.0,5.78,4.18,93.76,18.79,100.0,2026-02-26 20:13:59
IDXX,VENTE,-3.536,659.0,Hausse,50.16,Healthcare,Large,Healthcare_Large,505500.47,Achat,2.2,0.7,-12.45,4.25,4.99,14.3,2.83,1.5,60.83,52.72,100.0,2026-02-26 20:13:59
