Symbole,Signal,Score,Prix,Tendance,RSI,Domaine,CapRange,ParamKey,Volume moyen,Consensus,ConsensusMean,dPrice,dMACD,dRSI,dVolRel,Rev. Growth (%),EBITDA Yield (%),FCF Yield (%),D/E Ratio,Market Cap (B$),Fiabilite,detection_time
FCX,ACHAT,7.96,54.220001220703125,Hausse,67.79,Basic Materials,Large,Basic Materials_Large,10586498.03,Achat,1.7619,0.88,2.97,-0.02,0.0,2.7,10.48,2.83,30.59,74.57,50.0,2026-01-09 03:10:08
EEM,ACHAT,4.67,56.869998931884766,Hausse,72.94,ℹ️Inconnu!!,Large,ℹ️Inconnu!!_Large,16852406.9,Neutre,,0.21,7.13,-0.37,0.0,0.0,0.0,0.0,0.0,42.31,83.33333333333334,2026-01-09 03:10:08
CYTK,ACHAT,7.624,63.31999969482422,Hausse,50.43,Healthcare,Mid,Healthcare_Mid,1400091.03,Achat,1.65,0.63,-4718.05,2.57,0.0,318.1,-7.1,-4.25,0.0,7.55,100.0,2026-01-09 03:10:08
FORM,ACHAT,10.24,64.5199966430664,Hausse,71.44,Technology,Mid,Technology_Mid,618446.5,Neutre,,1.4,11.09,2.18,0.0,-2.5,1.8,-0.64,3.29,4.59,50.0,2026-01-09 03:10:08
NKE,ACHAT,7.91,65.26000213623047,Hausse,54.0,Consumer Cyclical,Large,Consumer Cyclical_Large,20961400.8,Achat,1.92308,0.81,-359.49,2.44,0.12,0.6,3.94,2.75,80.1,93.54,60.0,2026-01-09 03:10:08
IAU,ACHAT,4.67,84.27999877929688,Hausse,62.28,ℹ️Inconnu!!,Large,ℹ️Inconnu!!_Large,5653472.93,Neutre,,0.57,5.73,3.28,0.0,0.0,0.0,0.0,0.0,79.13,75.0,2026-01-09 03:10:08
MRCY,ACHAT,4.43,88.73999786376953,Hausse,73.54,Industrials,Mid,Industrials_Mid,601469.8,Neutre,,2.55,11.91,4.36,7.32,15.4,1.67,4.12,18.29,4.57,75.0,2026-01-09 03:10:08
GDX,ACHAT,3.954,91.54000091552734,Hausse,64.81,ℹ️Inconnu!!,Unknown,ℹ️Inconnu!!,13954206.4,Neutre,,1.16,5.65,3.68,0.0,0.0,0.0,0.0,0.0,0.0,88.88888888888889,2026-01-09 03:10:08
WFC,ACHAT,5.575,95.5999984741211,Hausse,62.66,Financial Services,Mega,Financial Services_Mega,12478711.23,Achat,2.07692,0.23,-2.21,-0.71,8.22,7.5,0.0,0.0,0.0,304.97,33.33333333333333,2026-01-09 03:10:08
DAC,ACHAT,4.961,98.83000183105469,Hausse,68.28,Industrials,Small,Industrials_Small,44663.5,Neutre,,0.64,15.5,3.69,0.0,1.8,37.23,12.01,20.28,1.74,35.294117647058826,2026-01-09 03:10:08
NEM,ACHAT,5.45,106.88999938964844,Hausse,62.93,Basic Materials,Large,Basic Materials_Large,8239643.97,Achat,1.66667,1.23,-0.54,1.82,2.49,20.0,10.51,7.95,16.91,117.41,100.0,2026-01-09 03:10:08
WMT,ACHAT,10.85,113.06999969482422,Hausse,54.84,Consumer Defensive,Mega,Consumer Defensive_Mega,19718222.17,Achat,1.35714,0.17,-7.95,0.57,8.24,5.8,4.44,1.15,66.75,899.02,100.0,2026-01-09 03:10:08
PLD,ACHAT,7.1,128.38999938964844,Hausse,54.36,Real Estate,Large,Real Estate_Large,3071271.07,Achat,1.91667,-0.1,-10.75,-1.8,6.43,8.7,4.05,3.93,62.79,119.87,100.0,2026-01-09 03:10:08
ENR.DE,ACHAT,3.756,129.39999389648438,Hausse,78.36,Industrials,Large,Industrials_Large,886002.47,Achat,2.08333,0.91,7.98,2.57,0.0,7.1,2.67,3.01,37.15,105.04,80.0,2026-01-09 03:10:08
TMDX,ACHAT,7.78,137.57000732421875,Hausse,60.03,Healthcare,Mid,Healthcare_Mid,664484.1,Achat,1.66667,1.86,62.58,4.77,8.85,32.2,2.54,1.85,146.21,4.7,100.0,2026-01-09 03:10:08
PM,ACHAT,9.575,158.80999755859375,Hausse,55.08,Consumer Defensive,Mega,Consumer Defensive_Mega,5388178.13,Neutre,,-0.54,-12.2,-3.89,9.27,9.4,6.04,3.1,0.0,249.53,50.0,2026-01-09 03:10:08
QCOM,ACHAT,8.8,181.8699951171875,Hausse,60.61,Technology,Large,Technology_Large,7363408.23,Achat,2.25,0.85,6.76,3.12,12.45,10.0,7.34,3.67,73.77,186.65,100.0,2026-01-09 03:10:08
SPG,ACHAT,5.6,184.97999572753906,Hausse,53.53,Real Estate,Large,Real Estate_Large,1304064.17,Achat,2.28571,-0.19,-17.59,-2.48,6.7,8.2,5.32,2.93,884.86,69.39,66.66666666666666,2026-01-09 03:10:08
SAP.DE,ACHAT,4.83,208.39999389648438,Hausse,48.46,Technology,Mega,Technology_Mega,963404.27,Neutre,,-0.08,1.16,1.03,0.0,7.2,4.61,2.99,21.09,235.19,50.0,2026-01-09 03:10:08
FNV.TO,ACHAT,7.96,312.6400146484375,Hausse,73.36,Basic Materials,Large,Basic Materials_Large,208290.83,Neutre,,1.43,15.09,6.25,0.0,77.3,2.53,-2.1,0.0,55.15,100.0,2026-01-09 03:10:08
TSM,ACHAT,6.6,318.010009765625,Hausse,61.51,Technology,Mega,Technology_Mega,10561531.33,Achat,1.52941,1.08,12.21,2.03,8.97,30.3,37.63,37.92,20.44,1657.66,66.66666666666666,2026-01-09 03:10:08
MU,ACHAT,3.9,327.0199890136719,Hausse,67.5,Technology,Mega,Technology_Mega,26711680.33,Achat,1.58537,2.31,6.47,1.0,6.41,56.7,6.01,0.12,21.24,368.06,33.33333333333333,2026-01-09 03:10:08
GLD,ACHAT,4.67,411.489990234375,Hausse,62.24,ℹ️Inconnu!!,Large,ℹ️Inconnu!!_Large,7368531.67,Neutre,,0.57,5.73,3.27,0.0,0.0,0.0,0.0,0.0,103.67,100.0,2026-01-09 03:10:08
SPY,ACHAT,8.2,689.510009765625,Hausse,57.59,ℹ️Inconnu!!,Mega,ℹ️Inconnu!!_Mega,71438272.53,Neutre,,0.1,-0.9,0.53,1.8,0.0,0.0,0.0,0.0,627.0,50.0,2026-01-09 03:10:08
GS,ACHAT,3.589,934.8300170898438,Hausse,64.67,Financial Services,Mega,Financial Services_Mega,1343739.97,Neutre,2.52,0.42,6.85,0.02,0.0,20.7,0.0,0.0,586.14,276.79,62.5,2026-01-09 03:10:08
RHM.DE,ACHAT,4.005,1851.0,Hausse,70.09,Industrials,Large,Industrials_Large,185063.37,Achat,1.58824,2.75,22.02,6.03,14.01,13.3,2.55,-0.0,47.17,71.49,75.0,2026-01-09 03:10:08
SMSN.L,ACHAT,4.83,2436.0,Hausse,83.08,Technology,Mega,Technology_Mega,13769.57,Achat,1.66667,2.75,10.08,2.58,0.0,8.8,23775.22,2142.32,4.03,315.45,75.0,2026-01-09 03:10:08
GC=F,ACHAT,4.07,4473.7998046875,Hausse,61.71,ℹ️Inconnu!!,Unknown,ℹ️Inconnu!!,1042.37,Neutre,,0.63,5.14,3.77,0.0,0.0,0.0,0.0,0.0,0.0,71.42857142857143,2026-01-09 03:10:08
DBK.DE,ACHAT,11.678,33.005001068115234,Baisse,54.61,Financial Services,Large,Financial Services_Large,1700395.93,Neutre,,-0.31,-8.05,-3.97,0.0,8.9,0.0,0.0,0.0,65.33,60.0,2026-01-09 03:10:08
LB,ACHAT,6.075,47.119998931884766,Baisse,37.58,Energy,Mid,Energy_Mid,399408.13,Neutre,,-1.83,5.24,-2.48,0.39,78.4,5.66,2.5,52.59,3.86,37.5,2026-01-09 03:10:08
PYPL,ACHAT,5.96,58.27000045776367,Baisse,38.76,Financial Services,Large,Financial Services_Large,14105807.13,Neutre,2.61364,-0.12,-1.07,0.89,2.88,7.3,11.86,5.63,60.24,55.55,33.33333333333333,2026-01-09 03:10:08
FLEX,ACHAT,7.53,60.380001068115234,Baisse,41.17,Technology,Large,Technology_Large,3585638.43,Neutre,,-0.91,6.6,-4.47,0.0,4.0,7.55,4.19,85.26,23.81,100.0,2026-01-09 03:10:08
KO,ACHAT,8.81,69.37000274658203,Baisse,47.97,Consumer Defensive,Mega,Consumer Defensive_Mega,15306791.67,Achat,1.625,-0.44,15.69,-3.19,10.68,5.1,4.92,0.47,144.77,297.47,100.0,2026-01-09 03:10:08
NEE,ACHAT,7.79,79.48999786376953,Baisse,42.92,Utilities,Large,Utilities_Large,8805376.6,Achat,1.91667,-0.2,-3.87,-0.78,7.52,5.3,5.36,-8.1,144.16,168.55,71.42857142857143,2026-01-09 03:10:08
GLW,ACHAT,7.53,85.33000183105469,Baisse,41.27,Technology,Large,Technology_Large,3509546.77,Achat,1.64286,-1.0,97.05,-7.2,0.0,20.9,4.18,1.5,76.51,73.16,100.0,2026-01-09 03:10:08
WELL,ACHAT,6.6,186.30999755859375,Baisse,44.71,Real Estate,Large,Real Estate_Large,3334077.17,Achat,1.61905,-0.24,3.11,-0.98,7.42,30.6,2.68,-2.14,46.21,128.3,100.0,2026-01-09 03:10:08
TBLA,VENTE,-4.09,4.269999980926514,Hausse,54.88,Communication Services,Small,Communication Services_Small,1572803.6,Neutre,,-1.3,-4.21,-5.59,-10.9,14.7,10.91,11.21,18.5,1.31,66.66666666666666,2026-01-09 03:10:08
GBDC,VENTE,-7.247,13.8100004196167,Hausse,58.38,Financial Services,Mid,Financial Services_Mid,1344256.53,Neutre,,0.22,23.1,1.66,0.0,-2.9,0.0,11.84,123.06,3.58,50.0,2026-01-09 03:10:08
FLNC,VENTE,-4.99,21.18000030517578,Hausse,51.65,Utilities,Mid,Utilities_Mid,2809877.77,Neutre,,-1.67,8.46,-4.08,0.0,-15.2,-0.77,-0.34,74.0,4.21,100.0,2026-01-09 03:10:08
HUT,VENTE,-4.839,57.95000076293945,Hausse,67.81,Financial Services,Mid,Financial Services_Mid,4812570.77,Achat,1.33333,2.06,8.7,2.06,0.0,90.9,7.34,2.23,23.62,6.26,100.0,2026-01-09 03:10:08
DIS,VENTE,-5.687,114.16999816894531,Hausse,59.09,Communication Services,Mega,Communication Services_Mega,6463597.77,Neutre,,0.33,-4.51,1.62,0.0,-0.5,7.95,3.45,39.63,201.1,100.0,2026-01-09 03:10:08
DUK,VENTE,-3.906,117.31999969482422,Hausse,48.8,Utilities,Large,Utilities_Large,2016408.83,Neutre,,-0.04,-5.96,-0.13,0.0,4.8,8.74,-2.12,170.34,91.33,41.66666666666667,2026-01-09 03:10:08
XOM,VENTE,-4.162,122.91000366210938,Hausse,58.14,Energy,Mega,Energy_Mega,10801954.9,Achat,2.22222,-0.13,-0.03,-3.98,0.0,-5.1,11.15,3.31,15.67,522.89,72.22222222222221,2026-01-09 03:10:08
CVX,VENTE,-4.162,159.25,Hausse,61.69,Energy,Mega,Energy_Mega,6407351.83,Achat,2.07692,0.23,9.2,-2.71,0.0,-1.4,10.66,5.01,21.24,314.11,50.0,2026-01-09 03:10:08
GOOGL,VENTE,-5.687,325.44000244140625,Hausse,68.94,Communication Services,Mega,Communication Services_Mega,18711198.43,Achat,1.46269,0.52,6.59,2.38,0.0,15.9,3.87,1.26,11.42,3817.14,100.0,2026-01-09 03:10:08
ETOR,VENTE,-10.523,32.529998779296875,Baisse,27.59,Financial Services,Mid,Financial Services_Mid,735370.27,Achat,1.57143,-1.69,2.42,-7.63,0.0,165.5,0.0,0.0,3.7,2.99,33.33333333333333,2026-01-09 03:10:08
GE,VENTE,-8.844,314.44000244140625,Baisse,53.96,Industrials,Mega,Industrials_Mega,2967214.27,Achat,1.52632,-0.24,1.61,-3.31,0.0,23.8,3.31,1.55,115.25,333.44,51.85185185185185,2026-01-09 03:10:08
SPOT,VENTE,-5.42,553.6799926757812,Baisse,38.04,Communication Services,Large,Communication Services_Large,1696537.97,Neutre,,-0.51,-1.89,-1.38,7.6,7.1,1.8,0.67,28.87,118.39,33.33333333333333,2026-01-09 03:10:08
META,VENTE,-11.71,646.0599975585938,Baisse,46.02,Communication Services,Mega,Communication Services_Mega,14104822.67,Achat,1.35821,-0.3,-55.48,-1.78,4.96,26.2,5.98,1.14,26.31,1639.38,40.0,2026-01-09 03:10:08
