horizon,type,entreprise,identifiant,magazine,date,page,note,cours,objectif,stop,risque,horizon_verbatim,raison,citation,controle,ticker,date_entree
long,sélection annuelle,DTE Energy,US 233 331107 2,Capital 10/2026,2026-10,85,"50 Aktien fürs Leben, rang 10",,,,,Aktien fürs Leben,"Valeur de qualité retenue pour la durée (Versorger, USA) : rendement du dividende 3,5 %, taux de distribution 63 %, PER 17,9, rendement total 10,3 % par an sur 25 ans.",,ok,DTE,2026-09-14
long,sélection annuelle,East Japan Railway,JP 378 360000 4,Capital 10/2026,2026-10,87,"50 Aktien fürs Leben, rang 11",,,,,Aktien fürs Leben,"Valeur de qualité retenue pour la durée (Schienenverkehr, Japan) : rendement du dividende 2,4 %, taux de distribution 34 %, PER 14,9, rendement total 3,3 % par an sur 25 ans.",,ok,9020.T,2026-09-14
long,sélection annuelle,Entergy,US 293 64G103 1,Capital 10/2026,2026-10,87,"50 Aktien fürs Leben, rang 12",,,,,Aktien fürs Leben,"Valeur de qualité retenue pour la durée (Energieversorger, USA) : rendement du dividende 2,5 %, taux de distribution 61 %, PER 24,4, rendement total 11,1 % par an sur 25 ans.",,ok,ETR,2026-09-14
long,sélection annuelle,EOG Resources,US 268 75P101 2,Capital 10/2026,2026-10,87,"50 Aktien fürs Leben, rang 13",,,,,Aktien fürs Leben,"Valeur de qualité retenue pour la durée (Öl-/Gasexploration, USA) : rendement du dividende 3,1 %, taux de distribution 44 %, PER 8,6, rendement total 14,7 % par an sur 25 ans.",,ok,EOG,2026-09-14
long,sélection annuelle,Everest Group,BM G32 23R108 8,Capital 10/2026,2026-10,87,"50 Aktien fürs Leben, rang 14",,,,,Aktien fürs Leben,"Valeur de qualité retenue pour la durée (Rückversicherung, Bermuda) : rendement du dividende 2,2 %, taux de distribution 21 %, PER 7,3, rendement total 9,2 % par an sur 25 ans.",,ok,EG,2026-09-14
long,sélection annuelle,ExxonMobil,US 302 33Q108 5,Capital 10/2026,2026-10,87,"50 Aktien fürs Leben, rang 15",,,,,Aktien fürs Leben,"Valeur de qualité retenue pour la durée (Öl/Gas, USA) : rendement du dividende 2,7 %, taux de distribution 60 %, PER 13,9, rendement total 9,0 % par an sur 25 ans.",,ok,XOM,2026-09-14
long,sélection annuelle,Fresenius,DE 000 FRE5EN 2,Capital 10/2026,2026-10,87,"50 Aktien fürs Leben, rang 16",,,,,Aktien fürs Leben,"Valeur de qualité retenue pour la durée (Gesundheitsdienstleistungen, Deutschland) : rendement du dividende 2,5 %, taux de distribution 37 %, PER 12,3, rendement total 7,5 % par an sur 25 ans.",,ok,FRE.DE,2026-09-14
long,sélection annuelle,Fuchs,DE 000 A3E5D6 4,Capital 10/2026,2026-10,87,"50 Aktien fürs Leben, rang 17",,,,,Aktien fürs Leben,"Valeur de qualité retenue pour la durée (Chemie, Deutschland) : rendement du dividende 3,2 %, taux de distribution 52 %, PER 15,5, rendement total 19,1 % par an sur 25 ans.",,ok,FPE3.DE,2026-09-14
long,sélection annuelle,Halliburton,US 406 216101 7,Capital 10/2026,2026-10,87,"50 Aktien fürs Leben, rang 18",,,,,Aktien fürs Leben,"Valeur de qualité retenue pour la durée (Öl-/Gasausrüstung und -service, USA) : rendement du dividende 2,1 %, taux de distribution 45 %, PER 14,7, rendement total 4,9 % par an sur 25 ans.",,ok,HAL,2026-09-14
long,sélection annuelle,KDDI,JP 349 640000 7,Capital 10/2026,2026-10,87,"50 Aktien fürs Leben, rang 19",,,,,Aktien fürs Leben,"Valeur de qualité retenue pour la durée (Telekommunikation, Japan) : rendement du dividende 2,8 %, taux de distribution 43 %, PER 14,5, rendement total 12,2 % par an sur 25 ans.",,ok,9433.T,2026-09-14
long,sélection annuelle,Kerry Group,IE 000 490656 0,Capital 10/2026,2026-10,87,"50 Aktien fürs Leben, rang 20",,,,,Aktien fürs Leben,"Valeur de qualité retenue pour la durée (Lebensmittel, Irland) : rendement du dividende 1,9 %, taux de distribution 33 %, PER 16,7, rendement total 8,5 % par an sur 25 ans.",,ok,KRZ.IR,2026-09-14
long,sélection annuelle,Kirin Holdings,JP 325 800000 3,Capital 10/2026,2026-10,87,"50 Aktien fürs Leben, rang 21",,,,,Aktien fürs Leben,"Valeur de qualité retenue pour la durée (Brauereien, Japan) : rendement du dividende 2,5 %, taux de distribution 41 %, PER 13,9, rendement total 7,3 % par an sur 25 ans.",,ok,2503.T,2026-09-14
long,sélection annuelle,Lockheed Martin,US 539 830109 4,Capital 10/2026,2026-10,87,"50 Aktien fürs Leben, rang 22",,,,,Aktien fürs Leben,"Valeur de qualité retenue pour la durée (Luftfahrt/Rüstung, USA) : rendement du dividende 2,4 %, taux de distribution 62 %, PER 18,6, rendement total 14,0 % par an sur 25 ans.",,ok,LMT,2026-09-14
long,sélection annuelle,LVMH,FR 000 012101 4,Capital 10/2026,2026-10,87,"50 Aktien fürs Leben, rang 23",,,,,Aktien fürs Leben,"Valeur de qualité retenue pour la durée (Luxusgüter, Frankreich) : rendement du dividende 2,8 %, taux de distribution 59 %, PER 20,2, rendement total 11,4 % par an sur 25 ans.",,ok,MC.PA,2026-09-14
long,sélection annuelle,M&T Bank,US 552 61F104 9,Capital 10/2026,2026-10,87,"50 Aktien fürs Leben, rang 24",,,,,Aktien fürs Leben,"Valeur de qualité retenue pour la durée (Regionalbank, USA) : rendement du dividende 2,4 %, taux de distribution 33 %, PER 12,5, rendement total 7,5 % par an sur 25 ans.",,ok,MTB,2026-09-14
long,sélection annuelle,McCormick & Co.,US 579 780206 4,Capital 10/2026,2026-10,88,"50 Aktien fürs Leben, rang 25",,,,,Aktien fürs Leben,"Valeur de qualité retenue pour la durée (Lebensmittel, USA) : rendement du dividende 3,8 %, taux de distribution 61 %, PER 17,8, rendement total 8,8 % par an sur 25 ans.",,ok,MKC,2026-09-14
long,sélection annuelle,Metlife,US 591 56R108 6,Capital 10/2026,2026-10,88,"50 Aktien fürs Leben, rang 26",,,,,Aktien fürs Leben,"Valeur de qualité retenue pour la durée (Personenversicherung, USA) : rendement du dividende 2,4 %, taux de distribution 48 %, PER 9,7, rendement total 7,9 % par an sur 25 ans.",,ok,MET,2026-09-14
long,sélection annuelle,Metro,CA 591 62N109 6,Capital 10/2026,2026-10,88,"50 Aktien fürs Leben, rang 27",,,,,Aktien fürs Leben,"Valeur de qualité retenue pour la durée (Lebensmittelhandel, Kanada) : rendement du dividende 1,8 %, taux de distribution 32 %, PER 19,8, rendement total 14,3 % par an sur 25 ans.",,ok,MRU.TO,2026-09-14
long,sélection annuelle,Münchener Rück,DE 000 843002 6,Capital 10/2026,2026-10,88,"50 Aktien fürs Leben, rang 28",,,,,Aktien fürs Leben,"Valeur de qualité retenue pour la durée (Rückversicherung, Deutschland) : rendement du dividende 5,0 %, taux de distribution 51 %, PER 10,1, rendement total 5,6 % par an sur 25 ans.",,ok,MUV2.DE,2026-09-14
long,sélection annuelle,Next,GB 003 208986 3,Capital 10/2026,2026-10,88,"50 Aktien fürs Leben, rang 29",,,,,Aktien fürs Leben,"Valeur de qualité retenue pour la durée (Handel/Vertrieb, Großbritannien) : rendement du dividende 1,8 %, taux de distribution 34 %, PER 19,1, rendement total 16,7 % par an sur 25 ans.",,ok,NXT.L,2026-09-14
long,sélection annuelle,NextEra Energy,US 653 39F101 2,Capital 10/2026,2026-10,88,"50 Aktien fürs Leben, rang 30",,,,,Aktien fürs Leben,"Valeur de qualité retenue pour la durée (Energieversorger, USA) : rendement du dividende 3,0 %, taux de distribution 68 %, PER 20,8, rendement total 14,0 % par an sur 25 ans.",,ok,NEE,2026-09-14
long,sélection annuelle,Northrop Grumman,US 666 807102 9,Capital 10/2026,2026-10,88,"50 Aktien fürs Leben, rang 32",,,,,Aktien fürs Leben,"Valeur de qualité retenue pour la durée (Luftfahrt/Rüstung, USA) : rendement du dividende 1,8 %, taux de distribution 31 %, PER 19,0, rendement total 13,7 % par an sur 25 ans.",,ok,NOC,2026-09-14
long,sélection annuelle,Novartis,CH 001 200526 7,Capital 10/2026,2026-10,88,"50 Aktien fürs Leben, rang 33",,,,,Aktien fürs Leben,"Valeur de qualité retenue pour la durée (Pharma, Schweiz) : rendement du dividende 3,0 %, taux de distribution 64 %, PER 18,0, rendement total 7,6 % par an sur 25 ans.",,ok,NOVN.SW,2026-09-14
long,sélection annuelle,NTT,JP 373 540000 8,Capital 10/2026,2026-10,88,"50 Aktien fürs Leben, rang 31",,,,,Aktien fürs Leben,"Valeur de qualité retenue pour la durée (Telekommunikation, Japan) : rendement du dividende 3,4 %, taux de distribution 42 %, PER 13,3, rendement total 7,5 % par an sur 25 ans.",,ok,9432.T,2026-09-14
long,sélection annuelle,Occidental Petroleum,US 674 599105 8,Capital 10/2026,2026-10,88,"50 Aktien fürs Leben, rang 34",,,,,Aktien fürs Leben,"Valeur de qualité retenue pour la durée (Öl/Gas, USA) : rendement du dividende 2,0 %, taux de distribution 69 %, PER 9,5, rendement total 9,0 % par an sur 25 ans.",,ok,OXY,2026-09-14
long,sélection annuelle,Odakyu Electric Railway,JP 319 600000 8,Capital 10/2026,2026-10,88,"50 Aktien fürs Leben, rang 35",,,,,Aktien fürs Leben,"Valeur de qualité retenue pour la durée (Schienenverkehr, Japan) : rendement du dividende 3,5 %, taux de distribution 51 %, PER 15,4, rendement total 3,5 % par an sur 25 ans.",,ok,9007.T,2026-09-14
long,sélection annuelle,Osaka Gas,JP 318 040000 8,Capital 10/2026,2026-10,88,"50 Aktien fürs Leben, rang 36",,,,,Aktien fürs Leben,"Valeur de qualité retenue pour la durée (Gasversorger, Japan) : rendement du dividende 2,4 %, taux de distribution 30 %, PER 15,1, rendement total 7,0 % par an sur 25 ans.",,ok,9532.T,2026-09-14
long,nouvelle,Pernod Ricard,853373,Börse Online 33/2026,2026-08-07,8,K AUFEN Neuempfehlung,"67,84 €","86,00 €",,Hoch,langfristig,"La fusion avec Brown Foreman a échoué. L'analyste Kepler Cheuvreux voit un potentiel jusqu'à 100 euros, soit une prime de 47,4 % par rapport au cours actuel.","Richard Withagen, Analyst bei Kepler Cheuvreux, sieht beispielsweise noch Spielraum bis 100 Euro.",ok,RI.PA,2026-08-07
long,sélection annuelle,PPG Industries,US 693 506107 6,Capital 10/2026,2026-10,88,"50 Aktien fürs Leben, rang 37",,,,,Aktien fürs Leben,"Valeur de qualité retenue pour la durée (Spezialchemie, USA) : rendement du dividende 2,5 %, taux de distribution 40 %, PER 14,5, rendement total 8,4 % par an sur 25 ans.",,ok,PPG,2026-09-14
long,sélection annuelle,Publicis,FR 000 013057 7,Capital 10/2026,2026-10,88,"50 Aktien fürs Leben, rang 38",,,,,Aktien fürs Leben,"Valeur de qualité retenue pour la durée (Werbung, Frankreich) : rendement du dividende 3,8 %, taux de distribution 57 %, PER 13,0, rendement total 8,6 % par an sur 25 ans.",,ok,PUB.PA,2026-09-14
long,sélection annuelle,RPM International,US 749 685103 8,Capital 10/2026,2026-10,91,"50 Aktien fürs Leben, rang 39",,,,,Aktien fürs Leben,"Valeur de qualité retenue pour la durée (Spezialchemie, USA) : rendement du dividende 2,0 %, taux de distribution 41 %, PER 17,9, rendement total 13,0 % par an sur 25 ans.",,ok,RPM,2026-09-14
long,sélection annuelle,Santen,JP 333 600000 9,Capital 10/2026,2026-10,91,"50 Aktien fürs Leben, rang 40",,,,,Aktien fürs Leben,"Valeur de qualité retenue pour la durée (Pharma, Japan) : rendement du dividende 2,2 %, taux de distribution 34 %, PER 15,8, rendement total 8,7 % par an sur 25 ans.",,ok,4536.T,2026-09-14
long,sélection annuelle,Shin-Etsu Chemical,JP 337 120000 1,Capital 10/2026,2026-10,91,"50 Aktien fürs Leben, rang 41",,,,,Aktien fürs Leben,"Valeur de qualité retenue pour la durée (Spezialchemie, Japan) : rendement du dividende 1,9 %, taux de distribution 42 %, PER 19,7, rendement total 10,3 % par an sur 25 ans.",,ok,4063.T,2026-09-14
long,sélection annuelle,Shionogi,JP 334 720000 2,Capital 10/2026,2026-10,91,"50 Aktien fürs Leben, rang 42",,,,,Aktien fürs Leben,"Valeur de qualité retenue pour la durée (Pharma, Japan) : rendement du dividende 2,7 %, taux de distribution 30 %, PER 11,3, rendement total 7,5 % par an sur 25 ans.",,ok,4507.T,2026-09-14
long,sélection annuelle,SLB,AN 806 857108 6,Capital 10/2026,2026-10,91,"50 Aktien fürs Leben, rang 43",,,,,Aktien fürs Leben,"Valeur de qualité retenue pour la durée (Öl-/Gasausrüstung und -service, Schlumberger, Antillen) : rendement du dividende 2,3 %, taux de distribution 48 %, PER 21,7, rendement total 5,1 % par an sur 25 ans.",,ok,SLB,2026-09-14
long,sélection annuelle,Snap-on,US 833 034101 2,Capital 10/2026,2026-10,91,"50 Aktien fürs Leben, rang 44",,,,,Aktien fürs Leben,"Valeur de qualité retenue pour la durée (Industriemaschinen, USA) : rendement du dividende 2,5 %, taux de distribution 45 %, PER 20,1, rendement total 14,5 % par an sur 25 ans.",,ok,SNA,2026-09-14
long,sélection annuelle,Sun Life Financial,CA 866 796105 3,Capital 10/2026,2026-10,91,"50 Aktien fürs Leben, rang 45",,,,,Aktien fürs Leben,"Valeur de qualité retenue pour la durée (Personenversicherung, Kanada) : rendement du dividende 3,5 %, taux de distribution 57 %, PER 13,7, rendement total 8,4 % par an sur 25 ans.",,ok,SLF.TO,2026-09-14
long,sélection annuelle,Suncor Energy,CA 867 224107 9,Capital 10/2026,2026-10,91,"50 Aktien fürs Leben, rang 46",,,,,Aktien fürs Leben,"Valeur de qualité retenue pour la durée (Öl/Gas, Kanada) : rendement du dividende 2,9 %, taux de distribution 48 %, PER 9,1, rendement total 12,0 % par an sur 25 ans.",,ok,SU.TO,2026-09-14
long,sélection annuelle,Union Pacific,US 907 818108 1,Capital 10/2026,2026-10,91,"50 Aktien fürs Leben, rang 47",,,,,Aktien fürs Leben,"Valeur de qualité retenue pour la durée (Schienenverkehr, USA) : rendement du dividende 1,9 %, taux de distribution 45 %, PER 23,7, rendement total 15,7 % par an sur 25 ans.",,ok,UNP,2026-09-14
long,sélection annuelle,United Health Group,US 913 24P102 1,Capital 10/2026,2026-10,91,"50 Aktien fürs Leben, rang 48",,,,,Aktien fürs Leben,"Valeur de qualité retenue pour la durée (Gesundheit, USA) : rendement du dividende 2,3 %, taux de distribution 66 %, PER 20,2, rendement total 14,6 % par an sur 25 ans.",,ok,UNH,2026-09-14
long,sélection annuelle,Verizon,US 923 43V104 4,Capital 10/2026,2026-10,91,"50 Aktien fürs Leben, rang 49",,,,,Aktien fürs Leben,"Valeur de qualité retenue pour la durée (Telekommunikation, USA) : rendement du dividende 6,1 %, taux de distribution 66 %, PER 10,0, rendement total 6,2 % par an sur 25 ans.",,ok,VZ,2026-09-14
long,sélection annuelle,WEC Energy,US 929 39U106 0,Capital 10/2026,2026-10,91,"50 Aktien fürs Leben, rang 50",,,,,Aktien fürs Leben,"Valeur de qualité retenue pour la durée (Versorger, USA) : rendement du dividende 3,6 %, taux de distribution 74 %, PER 19,2, rendement total 12,6 % par an sur 25 ans.",,ok,WEC,2026-09-14
moyen,nouvelle,ATOSS SOFTWARE,510440,Börse Online 33/2026,2026-08-07,34,K AUFEN Neuempfehlung,"87,70 €","120,00 €","74,00 €",Hoch,kommenden zwölf Monate,"L'entreprise affiche une croissance à deux chiffres et des marges élevées. Malgré la chute récente, le potentiel de rattrapage est clair si les résultats restent positifs.",Jetzt könnte die Erholung einsetzen winkels: Die Münchner Softwarefirma Atoss sieht KI als Chance,ok,AOF.DE,2026-08-07
moyen,dérivé,Gold-Capped-Call,VY0P40,Börse Online 27/2026,2026-06-26,69,Neuzugang Derivate-Depot,"28,55 €",,"15,00 €",,neunmonatigen Restlaufzeit,"Nouvelle entrée du dépôt de dérivés (12.06.26) : gain potentiel de 54 %, durée résiduelle de neuf mois, le cap de 4 250 peut être atteint d'ici là.","+15,2 % neue Positionen wurden ins Depot aufgenommen.",ok,,2026-06-26
moyen,dérivé,SAP,GU6US9,Börse Online 39/2026,2026-09-18,73,K AUFEN Neuempfehlung,"176,94 €","208,50 Euro",,Hoch,Sicht eines Jahres,"Le certificat Bonus-Cap offre un potentiel de gain de 41 % sur neuf mois. Il constitue une excellente alternative à l'action SAP, avec des résistances techniques favorables.",Das Gewinnpotenzial ist mit 41 Prozent auf Neunmonatssicht höchst lukrativ.,ok,,2026-09-18
moyen,dérivé,TecDAX,GW1RTT,Börse Online 33/2026,2026-08-07,68,K AUFEN empfohlen in 23/2026,"10,17 €","11,09 €",,Hoch,Einjahressicht hinzu.,Le titre a repris sa hausse après un recul technique et se trouve sur une tendance haussière robuste soutenue par des niveaux clés de Fibonacci et les moyennes mobiles.,"weiter kaufenswert. Das Derivat hebelt Kursveränderungen des TecDAX zurzeit mit einem Faktor von knapp 3,9.",ok,,2026-08-07
court,dérivé,EUR/USD TOP-DERIVAT,VY53XZ,Börse Online 39/2026,2026-09-18,72,K AUFEN Neuempfehlung,"4,02 €",,,Sehr hoch,Dreimonatssicht,"Le titre offre un potentiel de gain d'environ 150 % sur trois mois. L'analyse technique suggère une consolidation avant une hausse potentielle, avec des supports solides autour de 1,13 $.",Nahezu 150 Prozent auf Dreimonatssicht verheißt dieser Schein,ok,,2026-09-18
court,dérivé,Merck-KGaA-Capped-Call,MM4N7S,Börse Online 27/2026,2026-06-26,69,Neuzugang Derivate-Depot,"0,63 €",,"0,45 €",,am 18. September,"Nouvelle entrée du dépôt de dérivés (12.06.26) : +59 % si l'action Merck KGaA cote au moins 135,00 € le 18 septembre.","+15,2 % neue Positionen wurden ins Depot aufgenommen.",ok,,2026-06-26
court,dérivé,Nasdaq-100-Capped-Put,VH7VQE,Börse Online 27/2026,2026-06-26,69,Neuzugang Derivate-Depot,"6,18 €",,"3,90 €",,am 18. September,Nouvelle entrée du dépôt de dérivés (12.06.26) : gain potentiel de 43 % si le Nasdaq-100 cote au plus 31 500 points le 18 septembre.,"+15,2 % neue Positionen wurden ins Depot aufgenommen.",ok,,2026-06-26
non precise,sélection,A2 Milk,NZ ATM E0002S 8,Capital 07/2026,2026-07,94,Günstige Qualitätsaktien,,,,,,Gewinnprognose positiv trotz Herausforderungen; Dividendenrendite von knapp vier Prozent erwartet.,jedoch die Gewinnprognose lässt noch auf sich warten – bis dahin profitieren Anleger jedoch von knapp vier Prozent Dividendenrendite.,ok,ATM.NZ,2026-06-13
non precise,confirmée (depuis 08/2022),AB Inbev,A2ASUV,Börse Online 33/2026,2026-08-07,63,K AUFEN empf. in 08/2022,"73,16 €","92,00 €","61,00 €",Hoch,,Le groupe s'est diversifié avec des bières sans alcool et des produits 'Beyond Beer' qui sont de véritables moteurs de croissance.,Alkoholfreie Varianten wie Corona Cero gehören zu den Wachstumstreibern.,ok,ABI.BR,2026-08-07
non precise,sélection,Acatis AI Global Equities,DE000A2DR2L2,Euro 07/2026,2026-07,67,€URO-EMPFEHLUNG,"174,37 €",,,,,"Le fonds utilise une IA pour sélectionner des actions de qualité dans 50 entreprises mondiales, favorisant les value stocks et évitant le secteur bancaire.",Das KI-Modell verarbeitet die Daten von rund 50.000 Unternehmen,ok,,2026-06-03
non precise,sélection,ADP,850 347,Euro 10/2026,2026-10,34,€URO-EMPFEHLUNG,"239,05 €",,,,,ADP est un leader du traitement des données avec une croissance stable et une augmentation de la dividende depuis plus de 50 ans.,Dividendenkönig. ADP erhöht seit über 50 Jahren die Dividende und hat die Ausschüttung zuletzt weiter gesteigert.,ok,ADP,2026-09-09
non precise,confirmée (depuis 24/2025),AIRBUS,938914,Börse Online 39/2026,2026-09-18,56,K AUFEN empf. in 24/2025,"195,84 €","250,00 €","185,00 €",Hoch,,Airbus sécurise sa chaîne d'approvisionnement et gagne en influence sur la qualité. La stratégie de prise de contrôle des fournisseurs est jugée rentable.,In Summe dürfte sich der Schritt für Airbus aber rechnen.,ok,AIR.PA,2026-09-18
non precise,sélection,Alcon,CH 043 249246,Capital 07/2026,2026-07,95,Günstige Qualitätsaktien,,,,,,Alcon est un entreprise de l'ophtalmologie américano-suisse. L'action pourrait bénéficier si une acquisition réussit.,"Wenn es mit einem Zukauf klappt und Alcon sich technologisch erneut an die Spitze setzt, könnte der Aktienkurs davon profitieren.",ok,ALC.SW,2026-06-13
non precise,confirmée (depuis 02/2022),Allianz,840400,Börse Online 27/2026,2026-06-26,41,K AUFEN empf. in 02/2022,450 €,"500,00 €","345,00 €",Mittel,,"La société est leader en Europe dans les assurances dommages et accidents. Grâce à des économies d'échelle et une réduction des coûts, la rentabilité augmente avec un potentiel de cours jusqu'à 500 €.",Die Sparte Sach- und Unfallversicherung ist die profitabelste des Konzerns.,ok,ALV.DE,2026-06-26
non precise,sélection,ALLIANZ,,Euro 07/2026,2026-07,87,EURO-EMPFEHLUNG,"380,50 €",,,,,La stratégie axée sur la numérisation et l'IA renforce les avantages concurrentiels. Des investissements élevés en TI et une diversification dans les assurances cyber réduisent les risques.,Kein anderer Versicherer investiert laut Berenberg so viel in Informations- und Kommunikationstechnologie.,ok,ALV.DE,2026-06-03
non precise,sélection,ALLIANZ,840 400,Euro 10/2026,2026-10,60,€URO-EMPFEHLUNG,"447,60 €",,,,,Leader européen de l'assurance avec un modèle robuste et une forte rentabilité. La dividende est stable depuis 16 ans.,"Entscheidend ist die Schaden-Kosten-Quote: Liegt sie unter 100 Prozent, arbeitet das Geschäft profitabel.",ok,ALV.DE,2026-09-09
non precise,confirmée,Alphabet (Google Cloud),906866,Börse Online 33/2026,2026-08-07,10,K AUFEN,"243,05 €","280,00 €","206,60 €",Hoch,,"Le secteur cloud de Google a surpassé les rivaux Amazon et Microsoft avec une croissance de 82 %, transformant ses investissements en revenus supplémentaires.",Starkes Cloud-Geschäft wird belohnt,ok,GOOGL,2026-08-07
non precise,sélection,Altria,200 417,Euro 10/2026,2026-10,34,€URO-EMPFEHLUNG,"59,31 €",,,,,Altria est l'un des payeurs les plus fiables avec une rentabilité de six pour cent et un modèle d'affaires robuste.,"Altria zählt zu den verlässlichsten Zahlern der Wall Street: 56 Jahre in Folge wurde die Dividende erhöht, die Rendite liegt bei sechs Prozent.",ok,MO,2026-09-09
non precise,mise à jour,AMG CRITICAL MATERIALS,,Börse Online 27/2026,2026-06-26,59,K AUFEN,"35,94 €","50,00 €","30,50 €",Hoch,,L'usine de chrome aux États-Unis comble une lacune stratégique dans la chaîne d'approvisionnement américaine et pourrait devenir un moteur de croissance à marge élevée.,"Die Anlage stärkt damit nicht nur die strategische Position des Konzerns, sondern könnte sich mittelfristig auch zu einem margenstarken Wachstumstreiber entwickeln.",ok,AMG.AS,2026-06-26
non precise,sélection,Amundi Euro Corporate 0-1Y ESG ETF,LU2300294316,Euro 10/2026,2026-10,44,"Anlegen wie Goldman Sachs €uro hat die Überlegungen von Goldman Sachs in eine 50:10:20:20-Strategie überführt und dazu passende ETFs, ETCs und Fonds ausgesucht.",,,,,,ETF d'obligations corporatives européennes à court terme avec critères ESG pour diversifier et limiter les risques.,Anlegen wie Goldman Sachs €uro hat die Überlegungen von Goldman Sachs in eine 50:10:20:20-Strategie überführt,ok,,2026-09-09
non precise,sélection,Amundi MSCI Robotics & AI,LU1861132840,Euro 10/2026,2026-10,39,€URO-EMPFEHLUNG,,,,,,Le fonds investit dans des valeurs liées à la robotique et l'IA. L'édition présente ces ETF comme une sélection pour les investisseurs.,"Robotic-ETFs Hier investieren Anleger gestreut, Amundi setzt auch auf klassische KI-Werte",ok,,2026-09-09
non precise,sélection,Amundi Prime Euro Government Bond 0-1Y ETF,LU2233156582,Euro 10/2026,2026-10,44,"Anlegen wie Goldman Sachs €uro hat die Überlegungen von Goldman Sachs in eine 50:10:20:20-Strategie überführt und dazu passende ETFs, ETCs und Fonds ausgesucht.",,,,,,ETF d'obligations gouvernementales européennes à court terme pour sécuriser une partie du portefeuille face aux taux.,Anlegen wie Goldman Sachs €uro hat die Überlegungen von Goldman Sachs in eine 50:10:20:20-Strategie überführt,ok,,2026-09-09
